Gene,Number of connections,Connected genes
XXbac-BPG308K3.6,111,FAXDC2 COPZ2 RBFOX1 RP11-783K16.5 PCED1A ANKRD33B OAT VSTM2L GDF15 CTD-2541M15.3 SRRT LINC00992 PRR19 RBM39 PPP6R2 RP11-744O11.2 LMNB1 ATF5 BRINP1 CDC42EP5 AP006621.9 FAIM2 BTBD2 FGFBP2 RNF13 SP2-AS1 IPO5 MYADML2 TRMT12 GALNT14 MRPL47 RP11-560J1.2 IVNS1ABP OVOL2 TMEM110-MUSTN1 MNDA HNRNPLP2 LL22NC03-N64E9.1 SLC35D2 UBAC1 FAM209B RP13-638C3.3 SEC62 SNORA5C HDAC3 SPTLC1 KCNC1 TRAPPC2B HTR3A FGF13 DDX3X TSTD2 RP11-34P13.7 PI4KAP1 LL22NC03-2H8.4 SEPT9 TBCC THA1P TFPI2 RPS19P1 TNFRSF9 TCAP PCAT19 TROVE2 ZNF703 TRIM63 NAA38 OAZ1 LL21NC02-1C16.2 RP11-754B17.1 CERS5 SKINTL RP11-106M3.2 B4GALNT2 HCFC1R1 GCSH LENG1 RASAL3 SH2B3 RP1-313L4.4 BCAS2 IFT74 NAT6 C1QTNF3 ZNF770 ELF5 RP11-262H14.3 HADHA TSKU HLA-DPB1 TRAV1-2 RP11-381E24.1 IRF4 RP11-864I4.4 FARP2 MFSD1 LSM12 IQCD IL31RA SRD5A3-AS1 HUWE1 HOXD8 TBC1D13 FZD5 TEX2 ZBED5-AS1 WDR19 TPCN2 KAZALD1 SLC2A12 FBXO28 
STT3A,111,RP11-629G13.1 NPY6R ZSCAN16 C1orf106 AHNAK2 AF001548.3 EFNA5 RNASEH2B GPR75 COL21A1 CDCA5 XXbac-B135H6.15 CASC9 OR51A9P AC011242.6 RAD51-AS1 RNF182 DNAJC15 CACNA1C EIF3I RP11-141O11.2 FLJ44511 DEPTOR EARS2 RP11-248G5.9 CAD LINC00174 DIP2A SLC22A23 CTD-2366F13.2 SLC25A19 KIF11 KCTD18 LY6G5C ACKR4 ATP8B5P ANKRD34B MARS2 RP11-295H24.5 RPL14P1 P2RY13 WDR45B C12orf76 NUAK1 PCDHGB1 ERICH3 RP11-196G11.2 RP11-96K19.5 CYP24A1 CTD-2035E11.5 C17orf58 ZNF671 CTC-428G20.1 EFR3B RNF169 RP11-326I11.5 CTC-303L1.2 TMEM63C DMXL2 MYF6 RP11-91G21.1 SLC10A6 MSH2 AZGP1 AC130469.1 STRADA RP11-477N3.1 RP11-67C2.2 RPL13AP3 HERC2P10 CRYGN RP1-130H16.18 RNF19B LINC01352 FCN1 FAM78A MTRNR2L10 RP11-196G11.4 GP1BA TBX2-AS1 KLRC4-KLRK1 DNAJC6 C5orf46 ENTPD8 KCNJ16 SNRK-AS1 FO538757.2 TBX2 CTDP1 SMC2-AS1 WASH7P PMF1-BGLAP RP11-499F3.2 SCOC RP11-265E18.1 RP11-127L20.3 SH3RF3 LGR4 STAG3 MVB12A RPL3P7 RTEL1 AP5S1 BRIP1 CDHR3 XRCC3 UBB OSGIN2 STAB1 CSNK2A2 AKR7A2 
RP6-109B7.5,111,LINC00087 GPM6A AHNAK2 AF001548.3 EFNA5 PLIN4 ZDHHC15 SLIT3 GPR75 DKC1 RP11-104N10.2 RP11-553A21.3 GSDMA C9orf173 CASC9 TMED10P2 SLC25A27 RAB23 CTD-2013N17.6 RPS15 DNAJC15 UPF1 RP11-141O11.2 LINC00174 TAS2R6P AC006273.5 SLC25A19 KIF11 SERGEF KCTD18 EEA1 C16orf71 ARRB1 ANKRD34B RP11-295H24.5 RPL14P1 PPP4C RPL24 C12orf76 RP11-165F24.2 HDAC9 NUAK1 RP13-131K19.6 RP11-345M22.2 SFT2D1 TOX NOVA1 NGLY1 CYP24A1 CTSH CTD-2035E11.5 NTS CCDC77 NANS PTENP1-AS CXCL8 RP11-326I11.5 TASP1 DMXL2 NOTUM ARPIN CDC20B TIGD6 SLC10A6 VPS41 SFT2D2 RP11-130L8.2 SLC25A26 MSH2 RP11-133L19.3 IFITM3 VWDE DGCR6 HERC2P10 DHFRP1 RP1-130H16.18 LINC01352 FAM78A MTRNR2L10 RPS4XP7 TENM1 RP11-423H2.3 TBX2-AS1 SPDYE6 SNAI3 KLRC4-KLRK1 CLCN3 ENTPD8 RP5-981L23.2 SNRK-AS1 MKRN3 NXPH4 RP11-552M11.4 RP11-554D14.8 RP11-499F3.2 VRK3 RP11-265E18.1 NCF4 S100A1 UBXN6 RP11-552M11.8 MVB12A RPL3P7 AP5S1 CRMP1 ZFYVE16 EXOSC1 ZMIZ1 SART3 AKR7A2 TNFAIP1 
RP11-767N6.7,111,SLC2A5 KLF8 NOS1 C8orf31 TMEM37 ZNF185 CYP3A7 AC004637.1 C10orf2 ARHGDIA ANTXR2 MGC16275 GFI1B CAV3 CTA-984G1.5 DENND1C SLC25A6 RP11-686G8.2 GJC2 RUSC1 ADAM33 PDCD2 LMNB2 LINC01273 RNF215 FIZ1 RP11-430G17.3 MEF2B ADAM28 RP11-127I20.8 EFCAB6-AS1 USP4 NACA RPL23 L3HYPDH MMP15 ADCK1 RP4-739H11.3 TRIM47 RP1-257I20.14 TACC2 USH1C DENND6B DACH2 RP11-834C11.4 MAPK10 AC007405.6 AL133243.2 AC008440.10 RP11-343H19.1 GC INCA1 LA16c-360H6.1 FAM131B XPO4 SUMF1 RP11-76E17.3 ZSCAN31 RPL21P75 MFAP3 PSMC3IP RGPD3 PRDX2 SLC48A1 CXCR2P1 SMARCA5 RP11-30K9.1 MIS12 IL11RA BEX5 FXR2 RP11-179B2.2 PGBD2 AC006548.28 DIO2 PSD3 ARC LINC01272 LINC01473 GP2 IFITM4P AF196972.9 IL21R TIMD4 RP11-815J4.7 EIF4A3 FAM86FP FANCI ARHGAP44 VSIG1 RPS15AP1 AP2A1 KCND3 HMGN2P4 RP3-395M20.3 RP11-649A18.12 RP11-976B16.1 NDUFAF5 GOLGA2P8 RAP2A POLR3B RAB6A SLC9B1 NR2C1 CDK11B ZFYVE28 LANCL2 AK9 CEBPZOS PIGT SNRPN 
AF186192.5,111,EOGT TOR1AIP1 FAM212A ARL10 HP09025 RP11-438B23.2 ARL4C U73166.2 RP5-998N21.10 SEMG1 HS3ST3A1 TBC1D2 FLRT3 HLA-K CORO2B IRAK1BP1 B3GALT5-AS1 CLPTM1L MAPKBP1 CTD-2554C21.2 ZNF34 BHLHB9 MRGPRF-AS1 SLC37A3 LONP1 TRAM2 RP11-440D17.4 TRIM3 RP11-168P13.1 KCNG3 MCPH1 HPS5 NKAIN2 MYH7 KCTD6 ZSCAN12P1 RP11-91I20.3 RP11-104G3.2 TRAIP RP11-933H2.4 RP11-180I4.4 RP11-182J1.14 CREM CLDN10 PRAP1 HOXC12 WDR91 MYOC ULK1 GCDH RP11-452C8.1 CKMT2-AS1 CHRM1 RP11-398E10.1 RPL24P4 LINC00969 RNVU1-15 LA16c-380H5.1 EPHB3 STK31 RP11-1099M24.6 LTF RP11-45A17.4 HPCA TAF9P3 RP11-66N11.8 CKLF-CMTM1 AGR3 HKDC1 RNF141 RP11-304L19.3 KIF22 EIF2S1 SMEK1 PRRC2C RPS20 RP11-215A21.2 RP4-655J12.4 CWH43 CBY3 CCSAP HLA-H GHc-857G6.7 SFTPA1 PPP2R2A RP11-6B6.3 WNT7B RP11-424I19.2 RSL24D1P6 RP11-8L2.1 ANKRD39 ZBTB8OSP2 IGKV3OR2-268 IGHV3-72 RP11-214N15.5 RP11-3P17.3 CALML4 CD79A RP11-367J11.3 NUTF2 RP11-730G20.2 RLN2 AGTR1 DNAJC3-AS1 AGO1 CDKN2C OS9 TPM3P9 KIF3A ELP6 CHRAC1 
MRPL12,110,RAPGEFL1 TBX5 AC005336.5 RP11-800A3.4 NCMAP HELQ SLC26A1 ANKRD66 CAMK4 GARS WDR47 CTD-2666L21.3 FCGR3B SLC25A4 PRDX4 TBXA2R LENG9 KLRF1 SLC9B2 ADAM19 DPH7 MEF2C SOX8 PBXIP1 ITM2C ODF2 AP5Z1 NAALADL2 AGPAT6 NOP14-AS1 AC087491.2 PLEKHD1 NHLRC1 RP11-266K4.9 GABRB3 ZNF292 FRS3 FAM87A AC010976.2 SERPINB6 UBAP2 CEMIP RP11-250B2.3 TUBB4B RP11-460I13.6 NKX2-1 ST13P18 SCG2 MYB SPR DUX4L9 PHEX-AS1 ELOF1 ACP5 SF1 ALDH6A1 CTD-2382E5.6 TRGVA RP11-291B21.2 SPATA33 AC131056.3 ZNF2 TRPC7-AS1 ZNF354B SLC39A10 STYX CACNA1G SENCR AC004057.1 SAMSN1 CTD-2139B15.1 WDR83OS ZMYM4 AP001476.2 RALGPS2 RP11-256K7.1 PI4KAP2 RPL5P29 DLGAP4-AS1 RP11-1E11.1 CDON RP11-73M18.10 AC093668.2 CHCHD2P2 TOMM20L RP11-809N8.5 MIR503HG VNN1 SYT2 CH17-472G23.4 AC007750.5 TMEM26 ZNF23 USP45 PCDHGA2 CDC42SE2 TAOK3 RPUSD3 RGS19 TRIM33 RAB10 ZNF710 CTDNEP1 DRAM2 CDIPT TMCC1 SLC25A16 HOXA10 ALG5 PRDX6 
CASP1,110,RMDN2 ANO5 RP11-452L6.6 RP11-64B16.2 CRTAP RP11-680F20.10 RP11-290O12.2 ZNF442 SNORA71A C14orf159 RP11-481C4.2 CXCR1 RP11-351J23.1 SNX31 RP11-289I10.2 PHLDA3 DCAF4L1 CPT1B LDHB LL0XNC01-7P3.1 RP13-104F24.3 SNN NCDN TMEM151B GPI RP5-1142A6.9 SNRPE DOHH ANXA2P1 BIN3 RP11-1277A3.2 HIST1H2BO CHDH ARSI RP11-507K2.3 ERCC2 RP11-46H11.11 CTD-2012K14.5 AC245100.1 CDK14 SLC38A3 PSMA5 LINC00662 MGAM TEK RP11-325I22.3 AC093627.8 RP11-458D21.1 BBS4 PCP2 RP11-405M12.4 AC092159.2 RP11-676J12.8 FAM151B ALDH4A1 APP PRUNE EWSAT1 POLR3A HCP5 CTD-2126E3.5 MBIP LITAF RP11-278C7.1 CDK5R2 RASSF2 RP11-775C24.5 RP11-350J20.5 PSMD4 FBXO5 ORMDL2 PDZD8 U91328.22 ZNF678 CNOT1 ACTL6B RP11-3B12.5 AC005009.2 TMEM256 TMEM86B SRSF12 RP11-849F2.5 RNF24 SBF2 IGKV3D-11 RP11-295G24.5 RP11-452N17.1 KCTD21-AS1 FN1 TADA1 NAP1L4P1 SDHDP6 CD3E SIT1 FAR2P3 CYP4Z2P GPC4 TCF24 GDF11 RP11-216M21.1 SASH1 COX18 SSUH2 CTD-2134A5.4 ALG1L9P CTD-2619J13.13 SNRNP200 GTF2B CDH1 PCBP4 
PI4KAP2,110,LRFN1 RAPGEFL1 TBX5 RGL2 AC005336.5 TMEM47 NCMAP ANKRD66 DNAH14 BEST1 NKIRAS1 AC006277.3 SLC25A4 PRDX4 CREB3L1 TBXA2R KLRF1 AC005387.3 SLC9B2 MEF2C TMEM52 SOX8 RP11-863K10.4 PBXIP1 LARP1 ITM2C SYNPO ODF2 MRPL12 AP5Z1 RP11-498P14.5 AGPAT6 PLEKHD1 MRPL14 RP11-266K4.9 ZNF292 ADCK5 DOC2GP FAM87A AC010976.2 KRT72 NDUFB11 RP11-241F15.10 SERPINB6 CHODL RP11-658F2.8 CTD-2283N19.1 UBAP2 CEMIP RP11-250B2.3 SERPINA11 TUBB4B RP11-460I13.6 SCG2 AP003068.18 EEF1A1P6 RP4-657E11.10 ELOF1 AC003003.5 SF1 ZBBX TRGVA AEN RP11-291B21.2 ELP5 SPATA33 AC131056.3 TRPC7-AS1 CCAR2 SLC39A10 STYX CACNA1G SAMSN1 CCNT2 WDR83OS ZMYM4 AP001476.2 RP3-370M22.8 AC079776.2 RP11-1E11.1 CDON RP11-73M18.10 GALE CPLX2 BNIP3P11 RP5-881P19.7 RP11-809N8.5 VNN1 CH17-472G23.4 HLA-DOB AC007750.5 RP6-65G23.3 C5orf56 MED9 TMEM26 CDC42SE2 NPL RPUSD3 RGS19 TRIM33 RAB10 ZNF710 TMCC1 SLC25A16 C1QB HOXA10 ALG5 TM9SF2 GNS PRDX6 
RP11-722E23.2,110,EPCAM NR3C2 ITGB3 CASQ1 C19orf54 BCL2 RP11-155D18.13 ARID3A EME1 ELL3 SLC35F4 NOP58 REPS2 MRPS5 ARL2BP ATP5F1P5 BAIAP2L1 RP11-46F15.2 AC005154.6 CENPQ ZNF26 BCS1L CNOT3 SEMA3B LINC00893 LINC00284 LA16c-380A1.1 AC005082.12 C2-AS1 RAD9A CTD-2501B8.1 CTA-217C2.2 TSPYL1 CTD-2349P21.12 CACNA2D4 SH2B1 DESI1 FAM8A1 HIAT1 RPS10 LOXL3 CH17-262A2.1 MYO15A RP11-762E8.1 RP11-146E13.4 C2orf54 HSP90AB1 CXADRP2 RNASEK NRIR PA2G4P4 RN7SL2 EIF2B1 TMUB1 LINC01003 FAM124B THAP9-AS1 CASP1P2 PIP4K2C RP11-148E17.1 CASC4 METTL2A KLK12 FAM3A FREM3 KBTBD8 TMEM79 AL022393.7 RP11-191L17.1 IGLV7-46 TAF1 YIPF1 OR2A20P CTD-3185P2.1 RP4-798A10.2 IKZF5 SNRNP40 MFNG IFNAR2 DHRS4 RP11-295K3.1 RP11-315O6.1 AC005077.7 FAM63A CTD-3065J16.6 LA16c-380F5.1 RHOQP1 RP11-656D10.6 HOXB5 EFCAB5 AF131215.8 SMTNL1 LTB4R2 EGLN2 LINC01011 SLC25A44 RP11-384L8.1 MEOX1 COX4I1 RP11-565F19.2 ME3 CBWD2 REEP4 GIPC1 TPT1-AS1 TYW5 CRIPT DAG1 SUSD6 LIMS1 
HBB,110,CNTFR RP3-467K16.2 EPCAM LETM1 CTD-3222D19.8 LINC01134 DBNDD1 ITGB3 SLC7A14 CASQ1 RP11-155D18.13 LINC00877 NAB1 FADS1 OTX1 ELL3 PITX2 RP11-158I9.5 GBP1P1 REPS2 TRIP10 RP11-10O17.1 PIK3C3 RP11-118K6.3 ALKBH2 EHBP1L1 VSIG2 CENPQ MYL1 PLB1 RP11-65J21.3 RP11-57G10.8 SLC38A10 LINC01237 SCN3A LINC01549 CTNNB1 TCF7 LONRF1 TSPYL1 GPC6 CACNA2D4 HIAT1 RP11-480I12.7 RNF145 DKKL1 SHPK RP11-460N20.5 NEK3 RPL10 KRCC1 TMUB1 RP3-391O22.3 KRT8P46 ERH COX10 PACERR CALML6 PIGZ RAB44 SNHG22 RP11-178H8.7 CCDC23 MS4A4E METTL2A RP5-1021I20.5 FREM3 ABHD15 TMSB4XP4 INAFM1 AL022393.7 FOXC2 RP11-627K11.6 TAF1 FAM35DP ZNF818P CREBBP EPO SNTN IKZF5 RP11-44F14.2 CTB-113P19.4 RP11-115H13.1 CTD-2587H24.5 RNF219-AS1 RPL10AP2 FAM63A HOTAIR PPFIA2 SPATA4 RP11-930P14.2 RHOQP1 RP5-991G20.2 HARBI1 EFCAB5 AF131215.8 ISPD SMTNL1 POM121B EGLN2 POTEM LINC01411 SYT4 RPL35P1 FKBP1B SETD7 GIPC1 RAB2A MYH9 AKAP8 
RP11-1099M24.6,110,KANK2 A2M-AS1 FAM212A ARL10 LL0XNC01-250H12.3 NAALADL1 RP5-998N21.10 FLRT3 CORO2B CLPTM1L MAPKBP1 KIF26B BHLHB9 MRGPRF-AS1 LONP1 SLC7A11-AS1 ZNF497 TRIM3 AF186192.5 RP11-168P13.1 KCNG3 FAM126A IVL MCPH1 NKAIN2 MYH7 SLC43A3 RPL35A AC025335.1 NCOA4 KIAA0087 ZSCAN12P1 OR52I1 TRAIP RP11-182J1.14 HOXC12 RP11-834C11.11 WDR91 MYOC BX842568.1 GCDH HEG1 DHX38 CHRM1 RP11-398E10.1 RPL24P4 LINC00969 RNVU1-15 MYCBP2-AS1 WDR76 LA16c-380H5.1 MIR99AHG ST8SIA6-AS1 RP11-18B16.2 CCDC33 ATP2A3 STK31 LTF RP11-488C13.6 RP11-45A17.4 HPCA AGR3 HKDC1 RNF141 SDHAP1 TMEM189 RP11-304L19.3 KIF22 EIF2S1 SMEK1 PRRC2C RP11-215A21.2 BNIP3P5 CWH43 CBY3 DFFBP1 HLA-H GHc-857G6.7 EEF1A1P16 LINC01388 TBC1D3L SYNCRIP GJC3 PPP2R2A RP11-6B6.3 RP11-424I19.2 ANKRD39 AL008723.1 C2orf50 ZBTB8OSP2 CTXN3 CTD-3092A11.1 NPHP1 IGHV3-72 RP11-214N15.5 RP11-3P17.3 CTD-2311B13.9 NUTF2 RP11-730G20.2 RLN2 NINJ2 SCMH1 VAMP8 CDKN2C C12orf66 PRLR TPM3P9 KIF3A NCOR2 GMFB 
TAF7L,110,SEMA6D RP1-80N2.3 COLCA2 SPTBN2 MTSS1L SNORA71A RN7SL689P RPS6KA4 NOP58 AC087294.2 LDHB PDCD7 SCTR ADRB1 OGFRP1 NRSN2 AIM1L LINS ADAMTS9 KCNMB3 ART5 PRPF19 TRIM65 NXN COL27A1 RCAN1 CAPN1 NDFIP2 VAT1 SEMA3B LINC00922 RP11-166O4.6 AC245100.1 AC022210.2 MALSU1 VSIG10 FAM189B GTF2IRD2B ZNHIT3 RP11-57H14.2 ALOX12-AS1 CTD-2349P21.12 MGAM SH2B1 AGK CEP72 EIF5 RP11-58E21.4 AC073842.19 AC084219.3 AC092159.2 AGFG2 FTH1P11 ZCCHC10 RBM12B-AS1 PRUNE RP11-437B10.1 AC007246.3 EXOC4 TREH ASB7 PTPN3 WWTR1-AS1 TRIM58 RP11-737O24.5 RP11-191L17.1 PKIA C9orf66 ZNF678 CNOT1 IGHV1OR15-9 TNFRSF12A C14orf1 LST1 CCDC137 DOC2A C11orf53 PVRL3 GDF11 CCDC12 CTC-332L22.1 TPT1P9 TBCB SHBG SSUH2 RP1-159A19.3 AL022344.7 PNPLA6 COMMD7 WNK2 PCDHB3 CTD-2006M22.2 IP6K1 INTS10 NLRC5 DAAM1 GNPAT RAD51D ACVR1B GBF1 CDC123 SUSD6 SLC5A1 RFWD2 BLOC1S2 GTF2H5 PHF20L1 MGP ANKH EZR 
C10orf99,110,MICALL1 GDF10 FKBP7 ATP6V0A4 EIF4EBP2 PLEKHH2 SCN4B PDE5A CTC-529I10.1 CTC-246B18.8 CTD-3220F14.1 PDIA5 USP25 RP11-93I21.3 MBD5 KIAA1462 RP11-624M8.1 TMOD2 ZBED4 TRGV6 NUDT9 MB21D1 CLVS1 C5orf49 RP11-103B5.4 SPAG5-AS1 SCN11A RP11-131M11.3 HEMK1 MT2P1 ARF6 LUZP2 DSCAS RP11-545J16.1 LL21NC02-21A1.1 AVPR1A RP11-353N14.1 LINC01135 MAPK12 AC024937.4 CNIH3 ANKRD2 SPRR1B SNF8 RPL26L1 RP11-1348G14.1 RP11-253M7.4 GRB14 MCM6 TIPRL EPB41L4A LINC00507 RP11-287D1.4 LUM RP4-545K15.5 ALAS2 DMTN CHST10 KCNC3 PSMA4 RNASEH2C REN RP11-400F19.6 RPL17P50 BCO1 MRPL51 MAGOH RP11-442N24__B.1 RP5-1172N10.2 GATA2-AS1 MEGF8 AMZ1 TWISTNB RP11-61E11.2 RALGAPA1P UBE2D3P1 RP11-390G14.1 RP11-290F5.1 CRYZP1 ATP6V0D1 RP11-92K15.3 SLC5A5 PABPC1L2B KLF14 RP11-290F5.2 bP-2171C21.6 CHL1 HADHAP1 NHLRC2 FSTL1 VPS4A CARM1 RP11-262H14.7 FBXL16 WDR86-AS1 OSGEP LINC00856 RP11-390K5.1 SLC5A9 TDO2 RP13-1032I1.7 TTLL4 FLOT1 CPEB3 HECTD3 ACAP1 ENPP1 C11orf1 MTA3 NPC2 
bP-2171C21.6,110,MICALL1 C10orf99 GDF10 CHRDL1 F10 ATP6V0A4 EIF4EBP2 CLEC18B PLEKHH2 SCN4B FLRT2 PDE5A CTC-529I10.1 CTC-246B18.8 CTD-3220F14.1 PDIA5 USP25 RP11-93I21.3 MBD5 KIAA1462 RP11-624M8.1 TMOD2 ZBED4 TRGV6 NUDT9 MB21D1 CLVS1 C5orf49 RP11-103B5.4 SPAG5-AS1 SCN11A RP11-131M11.3 HEMK1 MT2P1 ARF6 LUZP2 DSCAS RP11-545J16.1 LL21NC02-21A1.1 AVPR1A LINC01135 MAPK12 TPBG AC024937.4 CNIH3 ANKRD2 TM6SF2 SPRR1B MRPS9 SNF8 RPL26L1 RP11-1348G14.1 RP11-253M7.4 GRB14 TIPRL EPB41L4A LINC00507 RP11-287D1.4 LUM RP4-545K15.5 DMTN CHST10 PSMA4 RNASEH2C RELA RP11-400F19.6 RPL17P50 BCO1 MRPL51 MAGOH RP5-1172N10.2 GATA2-AS1 MEGF8 PACSIN2 AMZ1 SHANK1 TWISTNB NT5C3B RP11-61E11.2 RALGAPA1P UBE2D3P1 RP11-390G14.1 RP11-290F5.1 CRYZP1 ATP6V0D1 RP11-92K15.3 LINC01220 SLC5A5 KLF14 RP11-290F5.2 CHL1 HADHAP1 NHLRC2 FSTL1 VPS4A CARM1 RP11-262H14.7 FBXL16 WDR86-AS1 TPI1P1 OSGEP LINC00856 RP11-390K5.1 SLC5A9 TDO2 RP13-1032I1.7 TTLL4 CPEB3 HECTD3 C11orf1 
ADIPOR2,109,ZNF488 ADAMTS18 SCN2B COL17A1 SSTR2 DNM1P46 CTSB ARHGEF40 PTBP1 RP11-483P21.2 EDA2R CCL28 NID1 RP4-613B23.1 AC005330.2 PLCB1 VANGL2 AKNAD1 NXPE4 RP11-310P5.1 LINC01314 CACNG1 TBC1D10A DNAJC9-AS1 LARP1B RP11-161M6.2 RP3-395M20.8 LENG8 PKD1L3 COMMD8 TARS RP11-435O5.4 PLXNB3 LA16c-358B7.3 IFNLR1 TBX19 SYN1 ZNF253 FABP4 GTF2H4 CPVL BTBD7 RP13-379L11.2 TRIM47 NCOA7 CTC-338M12.4 ENTPD1-AS1 LINC01511 PNLIP DPF3 AC000078.5 ZNF319 GPR55 DNAL4 LRRC37A11P GLB1L E2F8 PLEKHF1 TRIM25 KDM5B TNNI3 TNRC18P1 NDUFA4L2 PSMC3IP CXCR6 BSN AC005523.3 AL022393.9 CCT4 RPSAP4 PBX2 AC006160.5 EEF1A1P24 CCNYL1 ZNF324B TP53I13 NCR3LG1 RP11-483I13.6 TRBV7-3 RP11-603B24.1 RFT1 PSME2P2 CFLAR-AS1 GSPT2 RP11-114H24.6 RP13-585F24.1 CFAP53 BCRP7 RP11-426D19.1 RP5-890E16.5 RP11-110I1.12 AC133680.1 TCP11 WDPCP POU5F1 VPS9D1 VENTX FAM221B RAB6A KDM4A DAP CTD-2516F10.2 ARHGAP17 H3F3A CCDC186 CTSC CEBPZOS MPDU1 RBBP4 
EIF5,109,CCDC27 MTSS1L RP11-276H19.2 FOXI2 PPP1R3B ZNF419 AC010136.2 RPS6KA4 TAF7L RIPK2 OR2B6 PCDH11X PDCD7 C14orf132 ADRB1 LINC01504 RIPPLY2 ZNF26 MYL1 ART5 TRIM65 SOS2 NXN RCAN1 CDK15 CAPN1 XXbac-B476C20.9 LINC01237 AC073257.2 RP11-390F4.6 DIS3 RP5-912I13.1 CLTA LINC00284 LA16c-380A1.1 TMEM150A RP11-57H14.2 SDCBP2 SH2B1 AGK GET4 ZNF792 CTD-2132N18.4 CEP72 LA16c-431H6.6 FBXO8 LINC00551 HSP90AB1 CGGBP1 SDCCAG8 RP4-753M9.1 CTD-2525P14.5 CTD-2600O9.2 RN7SL2 PRUNE ZEB2P1 GAPVD1 AC007246.3 RP11-110I1.6 ZNF473 IGHMBP2 CASP1P2 PTPN3 WWTR1-AS1 CALML6 TMCO4 RP11-737O24.5 RP11-278C7.3 KBTBD8 RP11-191L17.1 AC004775.5 RAP1GDS1 CTD-2384A14.2 TMED2 LRRC6 RGS9BP RP11-94C24.13 SUMO2 C6orf183 SNX30 PCDHA13 FAM184B ANXA2R DHRS4 PVRL3 ALOX12B FGGY FLT1 RP11-329A14.1 CTD-3065J16.6 TPT1P9 RHOQP1 TBCB HOXB5 TNFRSF10A SMTNL1 SETMAR HOXA4 UPP1 ME3 IP6K1 ADHFE1 PHF5A DAAM1 ZNF557 CRIPT SLC5A1 PHF20L1 CAB39L 
MRGPRF-AS1,109,FOXP4-AS1 WISP3 HP09025 RP11-438B23.2 FHL1 FLRT3 MAPKBP1 SLC22A11 DENND1C CCL28 CTD-2008P7.9 FRAT2 LONP1 TMEM132B SLC7A11-AS1 RPUSD4 PSMB7 AF186192.5 SWSAP1 GZF1 DESI2 NKAIN2 MYH7 NRBP1 TBC1D16 RAB30-AS1 NCOA4 KIAA0087 RP11-395N3.2 ZSCAN12P1 RP11-91I20.3 LAMA3 TBX19 SYN1 CLDN10 DAGLB PFN1P2 UVRAG RP11-834C11.11 WWP2 ULK1 CXCL11 PDX1 SORL1 RP11-452C8.1 CHRM1 RPS27P25 RP11-398E10.1 LINC00969 GLRX5 LA16c-380H5.1 ELK1 EPHB3 GPR115 RP11-1099M24.6 LTF COQ5 HPCA CNKSR3 CKLF-CMTM1 NBPF14 ATG16L2 RNF141 RPL21P28 UBE2Q2P1 SYCE3 CNPPD1 RP11-304L19.3 LINC01572 RP11-215A21.2 FAM110B CALCA RP4-655J12.4 ZNF280D RP1-90G24.11 ATP13A3 CBY3 RPSAP4 GHc-857G6.7 AC009014.3 EBLN2 TBC1D3L NCR3LG1 PPP2R2A EMC3-AS1 TRBV7-3 CTSZ RP11-424I19.2 RP11-8L2.1 GSPT2 AL008723.1 C2orf50 BNIP3P18 AC079610.2 RP11-111J6.2 RP11-214N15.5 RP11-3P17.3 RP1-159A19.4 CTD-3035D6.1 PIGA RP11-730G20.2 CCDC184 GLI1 CTD-2516F10.2 ANKAR PCNXL4 NUPL1 H3F3A CHRAC1 
RP11-699L21.1,109,CHRM2 SLC24A3 NUDT17 FABP7 ZNF663P ASXL3 FOXO1 KLHL17 RAB11FIP3 IRF7 AC010226.4 CYP27B1 CD99L2 RPL39 ASAP1 ST6GALNAC3 GSTM1 PFKP LRRC43 TUBB2A MYO9A CYP4F12 HIST1H3B RP11-583F2.1 P2RX6P RP11-554A11.4 FAM204A SH3D19 MT1X MZT2A MRPS10 MRPS26 RP11-399J13.2 C11orf31 PCDHB9 CNTNAP1 AKAP2 WDR63 RP6-74O6.2 PON2 CMSS1 ZFP41 KCNJ2-AS1 LDLRAP1 RP11-290H9.4 MYLPF FRMD5 AF186192.6 KDM3B SPATA5L1 TBC1D4 CTD-2044J15.1 PMS2P4 NDUFAF4P3 RUFY3 MYO18A CTB-33G10.1 ZHX1 KCNJ2 MSR1 RP11-50D9.1 MMAA ZNF260 FAM43B TATDN3 AD001527.7 CALCB CDK17 UNC80 HELLS CEACAM4 HELB BTK NUDT4 CHRND ENAM KLHL8 DHRS9 GTSE1-AS1 PDCD4-AS1 RP11-407G23.7 XXbac-BPG55C20.7 RPL5P4 BRCA2 ARAP1-AS2 LOC401913 FLJ43681 ZBTB7A UTP15 IGKV1OR2-108 RP11-38L15.8 PHF2 IFI27 OSMR-AS1 RP11-164P12.4 TAF1A-AS1 DNAH10OS CD5 DYNLL1-AS1 METTL22 CPT1A FAM195B NEK11 TESC NOL3 TMED10 RPAP1 BCL2L13 EIF3A 
