Gene,Number of connections,Connected genes
MAPK1,142,BCLAF1 VEGFB KLB GJA1 MAPKAPK3 PCYT1A PEA15 PLA2G10 PTP4A3 PLA2G5 PLA2G4B PLA2G2D RELA KSR1 CAMK4 MYNN DUSP7 FGF20 NCKAP1 ATP1A3 PLA2G1B FGFR4 RXRG NKD1 TLR4 XPO1 GNB5 RPS6KA6 EIF2AK2 CREB5 PLA2G4C TRAF6 FGF22 ERBB4 SOCS3 SMAD5 CAMK2D AP2M1 GNB3 PRKCZ F11R EIF4EBP1 PPP2R1B ITGAV BCL2L11 EGR1 DUSP1 L1CAM IL18 PLA2G2A DUSP9 TBX3 IRS4 NR3C1 MAPKAPK2 ZC3HC1 FCGR2A NFATC1 CAMK2G MAPT SLC9A1 SAA1 ATF2 NCF2 RAC1 PPP2CB BCL3 CCND1 FGF1 FGF2 PDPK1 ETS2 GNG5 F2R LAT RUNX2 IGFALS RAP1A PLAUR ELK4 AP2S1 IL6R TP53 PPP2CA 4 SNCA ATP1B3 CDK4 GNRH2 CYBB GNG12 IFNG HSPA1B MAP2K1 YWHAE DAP3 PLA2G4D 3 YWHAB RRAS RARB GNGT2 BMPR1A HMGB1 PLA2G4F ERBB2 AKAP9 JAK1 GNG10 PTGES3 SMAD4 NFKBIA PLA2G6 KRAS TSC1 NOS2 PPP2R5D ENG PPID RAF1 BCL2L1 IL2RG MET CLTC CTCF APP ATF6B RPS6KA5 PDGFRB NPM1 ATP1B2 FADD MITF NGF HSF1 VEGFA TAB1 FXYD2 SPHK2 PLA2G2F MYC FOSL1 
JUN,141,GNLY GM2A ENPP2 ESM1 FCER2 FABP3 LENEP PDE5A SERPINE1 RTN4 PRAME RANBP1 MGP MEF2D MAT2A MAPK7 LTBP2 NUCB2 NANOS3 ZSCAN31 ZNF593 ZNF438 ZNF280B TCIRG1 SULT2B1 SP1 SPRR3 ZC3H4 UGT2B17 TOX2 TM4SF1 CAMP BCL6 CCL20 CCR5 CD1E ANXA2 ACAP1 BCHE ARHGEF10L ASXL1 CSNK2A1 CREB3 DPYSL3 DBH DDAH1 CHKB CHD3 NNMT PTGDS EHHADH MAFB KAT2B KCNIP3 PXT1 MACC1 ME2 HOXB9 STRN3 LOX IL18R1 TIMP1 TXLNG PHF19 GREM1 SLC7A11 SUB1 ADAM9 ELN ZBTB21 LMO2 NFE2L2 TFF1 PAGR1 NFATC1 TIMP2 THAP7 UBE2L3 ERG RELB CTSL RAB3IL1 KCNN3 LRRC32 PDGFRB DUSP1 PCDHB11 SLC40A1 TP53 CRKL AKT1 ATP8B1 ERCC1 ARHGAP24 CSPG4 CCL4L1 MYO16 NOS2 LATS1 CREB3L2 NTF3 GTF3A ZNF131 FAS CD247 TXN LPAR2 CTSK HOXA7 IRF2 NR2F1 CD1A B MTCH1 CHD4 TWF2 CCND1 ALDOA SERPINB2 FGF2 MT1A DKK1 MED1 ARHGAP5 HDAC7 CXCL2 IL18 CDK4 ALDH1A1 SOD1 ECD HSPA5 CREB3L4 HLF BUD31 DENND1A PGR NGF TLR2 HDAC1 BCR 
PLCG1,140,GNG5 FGF2 IGLV2-8 SH2D2A GIT1 CAMK2G GNB3 IGHV7-81 NF1 DGKZ PPP3R1 FCGR2A PTEN NTF3 GNA11 IGHV2-70 IL6R RAC1 TREM2 GNG12 ZMYM2 INPP5F DGKE IGKV4-1 NTRK3 ERLIN2 EPHA4 IGKV1-17 FGF1 PPP3CC GFRA3 ITPR3 PDGFRB PLA2G4C ITPKB ITPKA AGER DGKA DGKD DGKB GFRA1 GNB1 ATIC GNA15 CDC37 SRC ZNF207 IGHV1-69 HERC5 NOS3 RGS17 LCK EPGN RASGRP1 SHC1 AXL MDK CNTRL BLNK GNB4 ITPKC HLA-DQA1 PI4K2A PRKD3 GNGT2 NTF4 USP18 UBE2L6 SHC3 LAT PIK3R1 PIK3C2G MET MTM1 GAB3 GNB5 CD3G PAK1 NTRK2 ABL1 FLT4 GRAP PDGFRA GNG7 FGFR1OP2 BCR PIK3C2B ITGAV PECAM1 CAMK2D ERBB3 GNG4 PDGFB FGFR4 IGKV5-2 RGS4 HLA-DRB5 CDC42 KRAS INPP1 PI4K2B ITK PLA2G4F PRKD2 GSN VEGFA IGKV1-39 GNAO1 SYK RASAL2 NGF GNG10 PRKCI CD247 EML4 HCK SPRY4 NPM1 IGLC6 TRBV7-9 DGKK TRAV29DV5 PIK3R3 PI4KB ERBB4 STAT3 TRAV8-4 IGHV3-30 HLA-E FYN PLCG2 MST1R PIK3CB CD3E IGHV4-59 IGHV4-39 PRKD1 KLB DGKG PIP5K1A 
ZNF318,133,RTN1 ABCB4 SHMT2 RP11-373D23.3 CALM2P2 FAM210B RP4-616B8.4 ARL8A ZNF652 ZNF19 FBXL6 FN3K RP11-106M3.3 ACAA1 STK11 PBX4 RPS7P1 RP11-312J18.5 RP11-439L8.2 NUTM2F CLASP1 PEX12 FAM131A LRRFIP1P1 DCAKD AAMP FJX1 NFE2L2 NDUFA4 SEC22C SALL2 RP11-4K3__A.3 KCNMA1 RP11-390P24.1 ERLIN2 IGHV7-81 GNPNAT1 CCT8 CTD-2350C19.2 ANKRD7 ANKRD53 HNRNPAB LINC00998 RP11-540B6.6 SCAMP1 FAT4 HMG20A SHD FAM214B TSTA3 WDR4 MST1L MSANTD3 STON2 TMEM245 VPS13D CTPS1 ERN1 DNHD1 THAP9 MXI1 BTG2 ASIC4 USP6NL BZW2 SLC7A11 EFHC1 WT1 KIAA0513 MICAL2 MRC2 TCEANC HCG27 ANXA4 ALDH1A2 HPS5 LRBA RNU4ATAC ITGB5 LMNA CLIC1 LINC00431 CAPN2 DDIT4 TAGLN2 GALNT5 HKDC1 LHFPL2 RHOBTB3 CXXC5 SEMA4D SRP54 USF1 MED15 ERCC1 JMJD1C FNDC3B NAMPT LIPC DUSP10 HLCS TM9SF4 MDM4 PHF12 WBP4 NMI AR ANKRD54 SLC2A4 PUS10 WDR74 USP39 LUZP1 TMEM191B PPP1R9B FAM111A INPP1 DUSP12 CTIF ATP1A1-AS1 OAS2 ZNF131 TNFAIP8L1 MAPK6 AC092066.1 CLN8 SOX15 SYDE1 CCDC162P RP11-82L18.2 RP11-1260E13.4 TTLL10 SUPV3L1 
GTF2B,132,BCLAF1 CCDC88C PDE4D IMMP2L EFNA5 ANKS1B ZMIZ1 TEX41 HDAC9 DMXL2 PHACTR2 MYCBP2 MCTP1 CDC42BPA SGMS1 WNK1 CSMD3 CDC42SE2 CASC15 SOX5 PHKB ZBTB20 CTSC ROBO1 NAV3 CAST DNAH11 TAOK3 PLCB1 WDPCP RNF38 HIBCH GLIS3 KDM2A SRBD1 NBAS USP6NL BBS9 OLA1 CBFA2T2 MAP2 ELMO1 TRAK1 UGGT2 COMMD1 BANK1 SPTBN1 SORCS1 ABT1 ZMYND11 NR3C1 BBX LRBA ATM RPAP2 ERBB4 ANKRD44 POLR2A DUSP10 FNDC3B NIPBL STK38L LYST INTS3 UTRN LHFPL2 OXR1 PVT1 PCF11 TAF8 SUB1 DOCK4 PDS5B PLD1 DYM HMGB1 VGLL4 SEC31A WDR7 DENND1A ELL2 IRF2 ARHGAP24 GTF2A2 STAG1 POLR2D NABP2 VPS13B LRP1B NCALD SYNE1 ITGAV RAPGEF1 POU2F2 INPP4B DLG2 ALDH1A2 VPS13D SNAPC5 BCKDHB GTF2E2 DTNB TAF13 SMAD3 CNTN5 TAF10 EHMT1 TAF1 STRBP IPO11 INTS1 PBX3 GTF2H5 FRMD4B NEK1 SMARCC2 FAM214A EFHC1 ATF2 FOCAD SOD2 JMJD1C ICE2 TAF4 INTS10 TAF3 NF1 POLR2J POLR2I ERCC2 GTF2H3 TBP 
E2F1,123,GABPB1 KIF23 HSPD1 DNMT1 ZNF696 ZNF672 SET ZNF496 USP13 TRIO TRIM33 TNFAIP8 TMEM106C STK4 CAMKK2 BNIP3 BEND3 SLC6A19 MPPED2 COQ2 PIK3R5 DONSON LIN9 LIN52 LCOR KLF13 KLF11 IRF2BPL HSF2BP HDGF GLUD1 FOSL2 HNRNPA3 LRRC8A MAML1 PAWR OSR2 NUSAP1 NR2C2 NOLC1 MESP2 MAP3K5 MAMSTR E2F2 DCK SMYD2 PTPRO CC2D1A SRSF1 SNTB2 CDH20 CCNA2 GORASP2 CCNA1 LHX2 CRTAP TERT SOCS2 PLEKHF2 JPH2 SUPT4H1 PCBD2 MAML2 BEND6 RBM14 SPOCK1 KRT75 BMP7 DDIT4 PCNA ASF1B MT1G CDK4 PDPN TP53 HNRNPAB INSIG1 E2F7 CBX3 UHRF1 NFATC1 DHFR DIRAS2 ZMYM2 JADE3 FOXM1 BIN1 IL12RB1 CUL5 CCND1 NR1D2 CHD7 TUBA1B RAB40C RRM2 UTRN GPR132 POGK BMPR1A ATXN7 NUDT1 KIF2C POLA2 PRMT5 NTNG2 MCM8 YME1L1 LIN54 CDC25A CDAN1 HDAC1 FEN1 ERCC1 RALGDS CDCA7L ATM RXRG HSPA5 POLE2 CREB3L4 OGG1 KAT2B ZBTB25 
MAPK14,122,SLC9A1 DUSP14 PPP2R1B GNG12 PLCB1 MAX CDKN2A IL12RB1 ATF2 STAT3 PGR IL18 GNB3 GNG7 HSPB1 SYK IL1RAP GNA15 CREB3L4 TP53 GNAI2 GNG10 TYK2 CBX4 FCGR2A NEFM GSK3B ATF6B BNIP2 MAP3K12 SMAD3 EEF2K TH NEFL MAP2K1 FGR PPP2R2C CYBB RING1 RAC1 RAPGEF4 CBX6 BOC NFATC1 PPP2R2B TP73 TRAF6 GNG5 BMPR1A PHC3 GNA11 PPP2CB PLCB3 MBD1 CBX8 ELK1 DUSP18 IL1R1 MED1 CXCL3 APP DLG1 MEF2A PPP2R2D CSNK1A1 GNGT2 MITF PPP2CA ESR1 PTPN5 GDI1 MKNK1 MAPK9 CTCF IL12A ADAM17 NOS2 FYN CHRNA7 MAP2K3 HCK DUSP9 NOS3 CDH15 PPP2R1A CREB3L2 MAPK1 BLK HSPB2 RALB RB1 S1PR2 MALT1 MAPKAPK5 AKT2 MAPK8 GNAO1 VEGFA CDC25C CXCL1 PRKG1 GNB4 KRAS PAK1 TCF3 MYC LAT TSC2 NRAS GNB5 CD40LG DSCAM NCOA3 MNAT1 JAK1 ELK4 PRKCD TAB2 MAP3K7 PAK3 TP63 LCK 
POLR2D,116,HSPA8 SRSF1 INTS3 DDX42 NELFB CDK9 PBX1 POLR2A INTS8 CASC3 DDX23 COPS7B SF3A2 PCNA RBM17 POU2F2 HOXB3 HNRNPC EAF1 INTS1 SUPT4H1 NELFE COPS2 CPSF2 PRPF4 ERCC1 TAF8 WBP4 PAGR1 USP39 RNPS1 ESRP1 TERF1 AGO2 CTCF TAF4 GPS1 SNRPD2 HNRNPR COPS5 RFC3 TINF2 TAF9B PCF11 PRPF3 SNRPN CCNK COPS8 RBBP4 XRCC1 PTBP1 BUD31 SF3B1 ESRP2 POLK UPF3B GTF2A2 HOXA1 TAF11 GTF2B POLR2B SUZ12 LSM4 SNRPA1 CPSF4 GTF2H4 CD2BP2 SNAPC5 FIP1L1 METTL14 TAF6 SNRNP48 CDC40 DHX9 HNRNPD UBC POLD1 PRPF8 NELFCD KMT2D SNRNP27 RPAP2 TAF3 SNRNP70 MAGOHB LIG1 TRA2B RPA2 CTNNBL1 PCGF2 WTAP SRSF5 SUPT6H SNRPF ZRSR2 LSM8 SNRNP35 TAF10 SRSF4 SRSF6 ELL2 SART1 PKNOX1 HNRNPM NABP2 ZNF335 YBX1 RNMT EED MNAT1 WDR5 RBFOX2 MEIS1 CWC22 INTS5 RFC4 
MAPK3,116,JUNB MAL UBTF S1PR4 PRKACB PDGFB PFKP CDK5R1 ARIH1 DDIT3 STMN1 MKNK2 JAK2 PCYT1B FOXO6 ARAF EIF2S2 NRIP1 GNAI1 PFKM GNRH1 IER3 LAMTOR2 MRPL11 BMPR1A GNG10 SPHK1 PLA2G3 ATF2 NFATC1 ERF SOCS3 STAT5A PLA1A MAPKAPK2 KLB ELK4 AKAP8 KIAA1549 S100A12 HMGB1 FGF2 SOD2 PLA2G12A MYC MAX ITGAV VEGFB TBX3 MAP3K11 PPP2R1A IGFALS DUT RXRG PRKAR1B PPP2R1B NCF1 PLA2G4E SOCS1 ATP1B2 RAC2 BSG SLC9A1 PPP2CA IKBKB CCND1 USP18 BCL2 NPY4R CAPN1 TERT NFKBIA FGFR2 NOS3 TP53 SOD1 SMAD5 AGK SPHK2 GRB2 TSC1 WASF2 CEBPB NRG3 IL18 THRB SMAD9 NOS2 TAB3 AGER PLA2G6 PLA2G4D NPM1 RRAS CTNNB1 TNFRSF10A GNG12 BCL2L1 CDK4 RPS6KA4 BAD PDGFRB DUSP1 GNGT2 IGF1R ETS1 DUSP4 NGF IGF1 RUNX2 DUSP9 NDEL1 DUSP5 ERBB2 APP MARK3 
GNAI2,115,MAPK14 RGS12 ADORA1 NMUR1 F2R ADRA2A ADRA2C EDN1 SST CXCR6 GNB4 RAPGEF4 CCR2 PLCB1 OXGR1 CXCL1 RGS5 RGS3 RGS19 RGS14 RGS18 TAS1R3 TAS1R1 PSAP NMU MT-RNR2 MMP17 MMP16 MMP15 P2RY14 P2RY12 HTR1F HEBP1 GPR37 GPR18 C3AR1 BDKRB2 CCR4 CCR5 CCR8 ADRA1D APLNR APP CORT GNG12 ZNF207 GPR17 RGS10 MYNN PDGFRB GNAL CHRM1 HTR1D CXCR2 PIK3R5 S1PR5 HTR1B SCN1A C5AR1 CX3CL1 CCL4 CD247 CXCL2 ADORA2B GRM2 MMP24 GNG10 ADCY4 VEGFA GPSM1 BCAR1 CD3G CXCL3 CXCR4 PNOC ADORA2A GNG5 RGS17 CCL28 OXER1 PLA2G4F S1PR3 CXCL11 TAS2R14 ELMO1 RAC1 HCAR1 ADRB2 TLR4 XCR1 C3 PTGER2 TAS2R31 RGS6 NPY2R RGS11 PDGFB TAS2R20 GNB5 PLCB3 NPY IL12A HCK FFAR2 NPY1R DRD5 HTR6 INSL5 MMP25 SSTR2 PLA2G4C GPSM2 HLA-DRB1 LPAR5 ADCY5 
ZNF639,114,SECISBP2 PDS5B CPQ UPF3A FBXL19 NSMAF HMGB1 ZNF706 BRF1 TEX9 ATP2C1 TXNRD2 EPM2A TMEM69 SLC6A19 RNPEPL1 HLCS DUSP10 DCAF5 ZNF131 MED15 BZW2 RHOBTB3 TMCO1 UNC13D LUZP1 EIF5A TTLL10 FBXL6 COX20 AAAS IQSEC1 TTL ANKRD7 PPP4R1-AS1 RTN1 ZBTB12 POLR2A CLASP1 AHCTF1 SLC39A3 TCEANC USP6NL SSBP4 GNB1L ZNF652 ANKRD53 RHEB NR3C1 ANKRD54 RP11-837J7.4 PEX12 DLG3-AS1 TSSK3 RP11-399B17.1 IFI44L RP11-82L18.2 ZNF213-AS1 CALM2P2 DET1 STK11 ACSM3 VPS13D SMAD3 IGHV7-81 NIPBL FAM171B ZNF137P IKBKG MDM4 SYDE1 DOK2 STK35 CSDE1 AAMP CCT8 CORO1C CTD-2350C19.2 ARL8A DYRK4 MRPS23 ANK1 SALL2 ING5 DUSP15 GDF9 FJX1 DCAKD SEC22C ATP1A1-AS1 SOX15 KHK SHMT2 ARPC5L FAM131A MAZ RP11-312J18.5 GNPNAT1 RP11-4K3__A.3 C8orf44 ZNF140 RP4-742J24.2 NFE2L2 NDUFA4 ANKRD50 PCBP2 UBE2F ZZZ3 SZRD1 NOSIP RAB40C CTCF RPGR ZC3H6 
POLR2A,113,INTS3 POLR2D SRSF1 TAF8 UBC RBM17 NELFE USP39 INTS1 SNRNP48 PCGF2 RNMT COPS7B CPSF2 WBP4 CDK9 CASC3 ZNF639 MNAT1 COPS2 EAF1 PAGR1 POU2F2 NELFB PRPF4 SRSF4 KMT2D TAF3 AGO2 XRCC1 GTF2B HNRNPD MLLT3 COPS5 CTCF POLD4 SNRPA1 POLD1 ESRP2 TAF6 ICE1 CPSF1 SNRPD2 LIG1 PRPF3 EFTUD2 POLK WTAP ELL2 GTF2E2 ASH2L NABP2 CD2BP2 SUPT6H SNRPF RFC4 SNRPN ZRSR2 PKNOX1 RPA3 SMAD5 ELAVL1 LSM8 GPS1 SF3B6 FIP1L1 GTF2A2 SRSF7 TAF11 MEIS1 HOXA1 CNOT6 CWC22 CCNK MAGOHB YBX1 SNRNP70 PCF11 BUD31 SART1 TAF4 SNRNP35 PAPOLA CDC40 PCNA METTL14 RPAP2 PTBP1 POLR2J SRSF6 PBX1 RPA2 RBBP4 DDX42 LSM4 GTF2H4 NELFA EGR2 RBFOX2 INTS8 SUPT4H1 DDX23 SF3B1 CTNNBL1 ZNF335 UPF3B TCEA1 CPSF4 WDR5 TINF2 TAF10 RNPS1 ELL 
TGIF2,113,DCAKD KCNMA1 IGHV7-81 RP11-82L18.2 PEX12 SALL2 MDM4 CCT8 NEDD9 USP39 RTKN CCDC57 USP3 STX4 TMEM14C PPM1D LARP1B STC2 CDKN2C NELFA ORMDL3 PPARGC1A TRIM47 NCOA4 SERPINF1 POLA2 MGA SIX4 MMS19 PRCC SPTBN1 ERCC1 TSPEAR RCL1 KLHL24 RBM14 MGAT1 CFDP1 ZNF276 TXNDC5 TWF2 AFG3L2 LIPC HMGB1 UTRN SUB1 P3H4 C3 ENDOV ANKRD54 FAM131A NR1D2 CTD-2350C19.2 AAMP SEMA6A-AS1 PPFIA3 ELF2 SEH1L KHK TEF CRCP HERC3 MCM7 PLD1 BAZ2A DCAF13 ARL8A AC092066.1 SYDE1 FJX1 HADHB SOD2 ACAA1 CNBP NMI NFYC STK35 MNT BCL2L1 ATP1A1-AS1 NDUFA4 EDEM3 UBC CYP20A1 FIS1 SERPINB1 DDIT4 HSPA8 CFLAR MAZ DDX42 IDH1 JMJD1C GLYCTK SMAD3 DPAGT1 OGFR MROH8 PCGF5 SENP6 DUSP1 GNB1L RAB11A HELZ EIF6 SECISBP2 FN1 SP3 ING5 KIAA2026 PDK1 REV1 TUBB 
CTNNB1,112,PSMD4 VASP TCF7 ARHGAP10 EP300 RBX1 EXOC4 CREBBP PCDHGB7 CTNNA3 PITX2 TAF1 PCDH11Y NCSTN PCDHB6 KRIT1 HDAC2 IGF2 MDFIC MAGI3 MAGI2 MAGI1 LRRFIP1 GNA13 SOX13 TCF4 TCF3 SOX7 SOX3 PSMA3 PRKCZ PPP6C PTPRM PTPRF PTPRB CTNNBIP1 FYN CSNK1G2 CTBP1 WNT5B WNT2 FRAT1 KLF4 CDH11 GNA12 TNIK PSMD7 SOX6 GSK3A ZYX LRP5 CSNK1D PCDHB11 PCDHGA11 DLG1 MGAT3 WNT10B WNT3A PCDHGA8 PIK3R1 PIK3R3 PECAM1 PCDHB13 PCDH11X ERBB2 SMARCAL1 TCF7L2 TFF1 RANBP3 PCDHA7 MAPK3 ACTC1 CDH1 PCDHB3 KIFC3 FER ARRB1 PSMD5 WNT7A CELSR2 CDH3 FZD4 SOX17 PCDHB14 THRB PSMA5 PSMC6 ASH2L CDH24 SMARCE1 PCDHA6 MET CTBP2 PSEN1 TLE4 CHD8 PCDHB18P MMP7 IQGAP3 SPAG9 HGS PCDHB4 RBBP5 EGF ACTR2 CSNK1G3 WNT3 PCDHGB3 WNT4 IGF1R PSMC4 CDH18 
ZNF207,105,TAF1 JADE2 ACTB IQSEC1 STPG1 NFKBIA LINC00426 PLD1 ARAP1 SOD2 ANP32A RABAC1 CFLAR ARPC5L RAPGEF1 NADK ZC3H12A RHOBTB3 DOCK2 PRDM2 NFKBIE RNPEPL1 LYST CCDC88C IER5 SLC9A5 RBM17 MTERF4 LAT2 LASP1 DCAKD ATF7IP FNDC3B SSBP4 NFATC1 IRF5 ARHGAP22 PMAIP1 RALGDS PPP1R9B WDR74 TMCO1 ANGPTL6 RHEB RHOV LHFPL2 PREX1 TBC1D1 JMJD1C PLXNB2 ERCC1 DTNB ACKR3 PKMYT1 HERC3 SMAD3 CXXC5 SEMA4D BCL2 NUMA1 ANP32B NOP58 EHBP1L1 FAM228B SNX22 LINC00649 MKNK2 MGLL ING5 MOB3A BAZ2A RNF4 SH3BP1 GNAI2 SOX15 FGR SUB1 ANKRD54 PLCG1 MNT GARNL3 ZNF131 MDM4 NFE2L2 NR3C1 PEX12 UBC SYDE1 RFTN1 PHF19 DPYSL2 C1orf162 RP11-82L18.2 VGLL4 CYTH1 KDM2A DDR1 IDH1 RNF38 SEMA4C PIK3R2 HNRNPUL1 DPF3 TP53I13 THUMPD3 
HSPA8,105,POLR2D DDX23 FNBP1L STAM2 BIN1 TLR2 ARL13B UPF3B PRKAG1 BUD31 CPSF2 NECAP1 STX1A VPS37A RBM17 SRSF4 REPS1 CHMP2B RAB3A ADRB2 AAK1 RPS19BP1 AP1M1 DNAJA4 PRKAG2 PRPF4 GFAP METTL21A CHL1 LAMP2 SNRPN APOB CHMP6 ELAVL1 CHMP4B VPS37B TOR2A CSTF2T AP2A2 DNM2 MAPK9 PTBP1 EFTUD2 HNRNPR GPR37 SH3KBP1 SNRNP70 SNAP25 EPGN TFAP2A PCF11 SNRPA1 YBX1 CDC40 SF3B1 CPLX1 TGIF2 CWC22 KIAA0319 PRKAB1 SMAD5 SNRPD2 MAGOHB CLTC POLR2J SART1 HSF1 SNRPF PLIN3 HNRNPD CPSF4 ARPC1A AP2S1 HIP1R SF3B6 TGFA HSPB1 SRSF6 EPS15 CD2BP2 CTCF CD3G CTNNBL1 AMPH MYC PRPF3 CASC3 GAD1 PTGES3 DNAJA2 RNPS1 MVB12B AP2M1 FIP1L1 CHMP4C CHMP7 CHMP4A VPS37D WBP4 CPSF1 MAPK8 LSM4 POLR2B PAPOLA WBP11 
ZHX2,104,NADK IRF2BP1 ATF7IP COG1 IVD CYB5A CFDP1 ZNF276 ZNF131 LMF1 STK35 NOL4L RTKN CCDC57 MGA NEAT1 AAMP GARNL3 TCAF1 TEX9 USP39 DNMT1 BZW1 KHK FN3K PKMYT1 SDR39U1 TFAP4 ORMDL3 ZNF580 COMTD1 TBCD SALL2 IGHV7-81 GNPNAT1 CCT8 LUZP1 SHMT2 SYDE1 PEX12 RP11-82L18.2 RP11-4K3__A.3 FAM131A CTD-2350C19.2 DCAKD MDM4 KDM2B ARL8A RPH3AL HNF1B JMJD1C SRSF5 FGD4 LASP1 MNT UNC13D GNA11 UBE2D3 NDUFA4 SUB1 ELF2 C3 CORO1C SERPINF1 HMGB1 AHCY SLCO4A1 AMPD3 MXI1 SOD2 NXN PLK3 PDE9A KANSL1 KCNAB2 ISOC2 HDLBP DECR2 LGALS8 ING5 EHMT1 RNF220 PSMC5 DOCK6 RAD9A GALK2 GPR137 FKBP5 FOXP1 SH3GL1 PIPOX SATB2 CUEDC1 PDK1 TRIM65 NRSN2 GET4 ARID3A SP3 UBC B3GNT2 TFEB FN1 ACVR2A 
MAX,104,NR1D2 VGLL4 MAGEC2 TSPAN18 HOXA3 MAPK14 RING1 KDM4B GSK3B SIX5 PHF19 CCND1 HOXA7 ODC1 GABPB1 SMAD3 ACTL6A AXIN1 CC2D1B NFYC POU2F2 CCDC88C PPID EHMT1 GNS HOXA4 HOXC6 HINFP IRX4 ZNF692 ZNF628 REPIN1 ZNF292 ZNF280D ZNF239 ZKSCAN2 THAP7 THAP5 TCERG1 TASP1 MSC KDM7A KDM3A BMP4 AIMP2 ADM DYRK1B CAPG ZIK1 ZNF785 TUBGCP2 SERPINF1 RBBP4 HOXC5 YBX1 CRKL PSMD9 HDAC1 HAMP RPL11 PCGF6 ECD TFE3 KLF5 KLF9 MGA MAPK3 MYC EDN1 ZEB1 CREBRF NFYA HOXA9 BIN1 PLCG2 SLC40A1 SUPT7L ZNF74 RBL2 CDKN2A USF1 PIN1 NFX1 CDK4 TAF10 DEAF1 PPP2CA FBXW7 MAPK13 APOE TDG SUB1 PPP2R2C HDAC3 NOL4L EHMT2 YAF2 IL4I1 SERPINF2 ZBTB17 CBX3 AP2M1 KHDRBS1 LIN37 
KRAS,104,GNGT2 FNTB RASAL1 RASA2 RAPGEF5 PRKCE RPS6KA1 RASSF5 RASSF1 RASGRP4 RASGRP3 MAPK11 MAPK10 NCOA4 SYNGAP1 ZDHHC9 CALML5 ARL2 RAC1 RASA4B RASAL2 ACTN2 CDC37 RIN1 KL CCDC6 GNG7 GOLGB1 DLG2 GNG5 GRIN2B MAP2K1 MAPK8 RGL1 NTRK3 NEFL SPTBN2 FGF1 CD209 CDKN2A RALGDS PRKCB HRAS ITGAV PPP2R2B RCE1 PEBP1 AGK SPTBN1 PLD1 VAV1 PDGFRB PIK3R3 BCL2L1 DLG1 ERBB4 FNTA RAF1 FGFR4 FGF2 PLCG1 MAPK9 GFRA3 SYK CAMK2G DOK2 YWHAB GNG12 GNG10 GNB3 KLB IL3RA RASGEF1A NTRK2 RAPGEF1 GOLGA7 PDPK1 RPS6KA6 MAPK14 NF1 MAPK1 TEK PPP2CA SHC3 RASA3 EFNB2 RAPGEF2 KIF5C SOCS3 ERLIN2 PAK1 LYPLA1 ETV6 ARHGEF6 SPRED1 GRIN1 MET SPHK2 PIK3R5 ARHGAP35 UBC PDGFRA MAPK13 FGF9 
GLYR1,103,PNPT1 ARPC1A CCT2 BRWD1 DSP PHIP SRP72 PDS5A TP53BP1 KNTC1 CSDE1 CHD1 KPNB1 COPG1 MATR3 CNOT1 NUSAP1 TXNDC5 ANTXR1 WAC URB1 ZC3H14 AFG3L2 HNRNPC BAZ2A CHD4 XRCC6 PCID2 COPB1 PTCD3 MDM4 LDHB CTPS1 SNRNP48 DHX8 DNMT1 NAT10 HDLBP HMGXB4 DDX42 HNRNPM GMPS POLR3A SPTBN1 ACTL6A NPLOC4 SMG1 KDSR ZNF638 DDX31 IARS2 CCT4 RBBP4 COPA LIMCH1 KDM4A HNRNPUL1 PRRC2C THUMPD3 RBM5 SUB1 ZFR NVL SNRNP200 UBAP2L PCBP2 MGA MTRR UGGT1 YME1L1 SF3B1 CAST ADSL USP39 ANKLE2 EXO1 PRMT7 TTC17 KIF23 EIF3D CSE1L NOP58 SFSWAP C1QBP FNDC3B SEC31A CEP95 API5 CDC123 WDR26 FUBP1 TUBGCP4 PHC3 NIPBL UTP18 TAF1 EFTUD2 RRM1 TRPM7 ATR REV1 USP22 EP300 
TFAP2A,103,SEL1L KDM5B F2R TEAD1 PLCG2 MCAM PTGES GPX4 GLUD1 HSD17B2 HSD17B1 HOXA4 GUSB FADS1 FBLN1 MT1A MYO16 MIPEP MPG ME2 NME3 MAPK8IP3 KCTD1 LAMA5 KRT14 CA9 CALB2 TALDO1 BSG TGFB3 THPO TIMP1 TFAP2C TNPO1 VIPR1 ZKSCAN2 ZNF566 SOD1 CDH17 SPRY2 SPHK1 AGA ATP1A1 AQP2 CSTA CXCL5 CTSS CREBBP DSG3 SERTAD3 SMPD1 COL6A2 SLC6A4 PLK3 TH SLC11A1 PDE5A MAPT EHMT1 CASP6 KRT16 MAGEC2 PIM3 HPGDS HOXA3 ADM ADRA1A PDHA1 IFT20 HOOK2 NR3C1 GALNT3 REV3L PLAT HSPA8 ACAN DSG2 CCL17 CCNB1 DBH SLC19A1 HSD17B4 ITGB1BP1 EGR1 ATP2A3 TMEM14A NANOS3 DEAF1 FREM2 ABCD2 MYO6 CLU KRT17 GM2A ZNF335 VEGFB CGA IL13RA2 NFIC GLI1 CD7 IGFBP3 VEGFA 
